0,21804
4.16667,257
8.33333,880
12.5,193
16.6667,807
20.8333,571
25,513251
29.1667,1200
33.3333,113
37.5,795
41.6667,1699
45.8333,1482
50,22493
54.1667,900
58.3333,207
62.5,479
66.6667,258
70.8333,13699
75,306
79.1667,409
83.3333,171
87.5,191
91.6667,109
95.8333,128
100,551
104.167,89
108.333,107
112.5,131
116.667,129
120.833,112
125,364
129.167,105
133.333,110
137.5,438
141.667,290
145.833,317
150,645
154.167,231
158.333,117
162.5,98
166.667,99
170.833,130
175,113
179.167,127
183.333,156
187.5,197
191.667,186
195.833,314
200,191
204.167,248
208.333,250
212.5,303
216.667,405
220.833,535
225,160
229.167,78
233.333,41
237.5,38
241.667,13
245.833,4
