14,5
17.9333,63
21.8667,135
25.8,150
29.7333,76
33.6667,35
37.6,168
41.5333,410
45.4667,2364
49.4,6556
53.3333,1808
57.2667,209
61.2,157
65.1333,146
69.0667,117
73,131
76.9333,146
80.8667,133
84.8,115
88.7333,123
92.6667,125
96.6,124
100.533,109
104.467,136
108.4,89
112.333,97
116.267,115
120.2,103
124.133,109
128.067,86
132,113
135.933,115
139.867,122
143.8,286
147.733,583
151.667,613
155.6,241
159.533,430
163.467,332
167.4,109
171.333,91
175.267,96
179.2,169
183.133,185
187.067,228
191,188
194.933,256
198.867,259
202.8,332
206.733,393
210.667,395
214.6,537
218.533,598
222.467,816
226.4,1101
230.333,8782
234.267,13389
238.2,71227
242.133,168127
246.067,22947
